airline_sentiment,clean_tweet
positive,cool picture of another VirginAmerica plane off our wing. What a site!
positive,Keep up the great work :)
positive,my goodness your people field are amazing under pressure aifrom Texas in crisis Please fly me to NY
positive,Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now?
neutral,can you please get me to the new york area before monday afternoon
positive,"Thanks so much for the awesome support, you guys rock!"
negative,seats in Row do not recline should mention that on your website
negative,flight delayed hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.
negative,why Cancelled Flight flights today? No precipitation to be scared of! aiaiai
positive,twitter team. you guys killed it for rescheduling me asap. thank you!
negative,You guys charged me $ to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. what is the deal?
negative,canat access your website from Safari on iPhone . Seems to work on Mac and iPad. Need iPhone to add Passbook.
neutral,"on iPad and iPhone, clicking the CHECKIN link in the email I received at hrs before flight"
negative,"your mobile site is broken, shows ""{{header.elevateUser.numOfPointsAvailable || ' ' | number}} Points"", will not let me checkin"
negative,I was really looking forward to my flight. can you let me know when it will be rescheduled?
negative,"why Cancelled Flight flight VX ? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
negative,I did it but there was a problem in the link from the email for check-in. thanks
negative,had to change to another airline to get to DC today ... Why is able to land in DC but not you? Cost me $ ...ugh
negative,I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
positive,when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love!
positive,wish I can afford to fly with you next Friday going back home.. love everything about your airline
negative,how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas?
neutral,"itas just a bug report, guys"
negative,hold times at call center are a bit much
positive,You have the best flight attendant ever!!!
positive,"Awesome! RT Watch nominated films at , feet."
negative,"Trying to reset my password, email never arrives. Help?"
positive,the only airline based in Silicon Valley!
positive,Very nicely done. d
positive,Iam looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;)
negative,What is the reason for the delay of the departure of VX from JFK this afternoon?
negative,"is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?"
positive,hahaha d YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!d
positive,sounds like fun !
neutral,any updates on flight from Jfk &gt; Lax
negative,"the CSS on your site is a right now, please fix. Site unusable."
negative,"we are on flight Vegas to Boston today, checked in online but our bag count did not register. Can I fix that somehow?"
positive,"classiq, luv Virgin America. Greetingz"
negative,"Hi, I am trying to do check-in but the website is not working. I tried different browsers and the problem continues"
positive,Thanks for your great customer service today &amp; for helping me get all my travel sorted out!
positive,thanks guys! Sweet route over the Rockies
positive,love the s music blasting at gate in while waiting for flight to . Only if I could get an iced coffee!
negative,"- the passenger in D, Flt that assaulted me should not have flown. I trust he is banned. Crew filed report to @FAANews"
negative,current bug on website shows aselect departure citya when selecting destination city
negative,luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) was not any help.
positive,"thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free."
neutral,"If you would love to see more girls be inspired to become pilots, RT our free WOAW event March - at ABQ."
positive,Thanks! Good times there and back! the entire flightd
neutral,"beats expectations, shares take off - Santa Cruz Sentinel"
neutral,any plans to start flying direct from DAL to LAS?
neutral,BIG Love/gratitude.mpower w/ weRin VIPswagbags
positive,you are doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!
negative,requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver memberd
neutral,This is what you missed Next trip to the .
negative,I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!
negative,there is something wrong with you website in Safari iPhone
positive,thanks for gate checking my baggage on your full flight dfw-lax and giving me early boarding too
negative,Already checked in so the page expired :X
negative,Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!
neutral,shares rise on Q financial results - USA TODAY
neutral,Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race
positive,I see what you did there ;)
neutral,way to take advantage of :)
neutral,you know I am flying virgin for the fight
positive,your inflight team makes the experience !
positive,cutest salt and pepper shaker ever. Just when I think you guys can not get any better you just do!
negative,"moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selectedd"
neutral,shares up on Q results -
positive,we have a hot female pilot! Sweet! DCA to SFO! :-)
neutral,ddaiaid When are you guys going to start flying to Paris? you are welcome.a
neutral,what is your policy on flying after surgery? I am still waiting for answer so I can tell me doctor.
negative,already contacted Central Baggage &amp; sent DM. is charging me for the dress that was in the lost suitcase
negative,Is there anything going on with the website? I have been getting a lot of errors past minutes.
neutral,I think i left something on the plane yesterday. who do i call...ah!
neutral,I need you to follow back in order to DM.
neutral,Need to start flying to . dddd
neutral,they told to check with the airline regulation first so that is why I contacted you.
negative,I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!
negative,husband and I ordered three drinks via my screen and they never came. Awesome!
negative,soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-)
neutral,what is your policy on flying after surgery?
neutral,posts second consecutive full-year net profit -
negative,"Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!"
positive,would love to do more for virgin just like I do for @GoPro
neutral,Results Handily Exceed Forecasts -
neutral,"I applied for a position in ,and I was wondering if you guys received my application."
neutral,achieves a second year of profitability despite revenue pressure ... -
neutral,"gives positive outlook, but sees increased competition -"
negative,I am trying to check into my : AM CT flight tmm on the desktop website and it is not working (some sort of caching bug) SOS
neutral,weather delays &gt; next few weeks ;)
neutral,check the website before you go to the airport!
negative,Do you guys know your check-in links from emails are broken?
neutral,pilot says we expect a choppy landing in NYC due to some gusty winds w/a temperature of about degrees &amp; w/the windchill -
positive,loved it. can not wait for Monday's return flight... Mostly just to watch the inflight safety video again.
negative,"lost my luggage days ago on flight VX from LAX to IAD &amp; I am calling every day, no response.Please give me back my stuff"
negative,The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.
positive,Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!
positive,"I mean. Probably inappropriate while on board.. But, it is on!"
positive,happy to spend the day together. let us do this!
neutral,is saving my sanity right now:
neutral,missed my flight. How does standby work?
positive,. They were very understanding and helped me out. Thx!
neutral,brought it all the way across the country today I see
positive,thank you! I absolutely will d
negative,Looks like a broken link for your assets
neutral,are you ready!? let us say it together.. 'Noooo turbulence today!' d
negative,the manage itinerary section of your website seems to be broken for me
negative,"can not check in, your site looks like this every time it loads"
neutral,can u help this d needs urgent treatment indd y old battling cancer could u help with flights d
neutral,may start service to Hawaii from this year
negative,Other carriers are less than half price for a round trip fare. I am stunned.
negative,WTF is happening in PDX Late Flight March such that one way from SFO is ~$ ?
neutral,add DTW and I am sold!
positive,How about some free drinks on the flight back for the free promo?
neutral,momma I made it! ddd
neutral,please contact me about portfolio left on flight VX from JFK to SFO tonite seat AM. Need it returned. Call - - .
neutral,help. I was On Flight from JKF tonight. seat C left portfolio. Need it back!!
neutral,Seattle bound. Wifey got me the duffle for vday. She is a keeper!!! Holla!!!
negative,"my luggage is gone. I have filed my paperwork, promised a call/email. Still no resolution or response from central luggage."
neutral,Debbie Baldwin gave a performance of the safety demo this evening on VX
positive,thanks for taking care of on her flight!!
positive,Thanks for the lovely soft views! to
negative,I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?
negative,"Just trying to book tickets to NYC and facing super fun broken styling. do not worry, I will keep trying :)"
neutral,Many Thanks for the Follow. Looking for Any Helpd ddddddd ddd
negative,Applied for Status Match on Feb . Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly d
neutral,is my new go to airline
neutral,Can You Help in need of some help in ddddddd
positive,"I adore you, and am so looking forward to my flight to Austin in two weeks."
positive,I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.
neutral,Flight Booking Problems flight to uphold my status match. Do taxes on ticket count as earned status points?
negative,trying to check-in...but looks like your site is down?
negative,"spending my birthday night with you, DAL-DCA. Get me home!"
negative,Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.
positive,"first time flying Virgin, went to .Thanks for the smooth ride. Easily my new fav airline!"
negative,"seriously, though. will there not be direct flights from SFO-FLL in may???"
negative,it is fine. Already done with my purchase. But you should try it. Just go most of the way through then go back
negative,"not really the experience I was hoping , I ws forced check in a small carry on, w/ nothing but empty cabin space on board"
negative,wjere is our luggage slow at lax
neutral,to jump into the market
negative,"I spoke with a representative that offered no solution, I am a loyal customer who flies on as well"
negative,I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email
negative,"what happened to direct flights from SFO-FLL? Looking in May, only see connecting"
neutral,Can you help? Left my blazer in. Kooples jacket bag at rd row second seat from right gate T lax.. Flight to sfo
neutral,partners with Checkout as mobile payment method to help boost mobile conversion rates
positive,"just promoting the product is all, had a problem with southwest and recommend noneother than the best!"
positive,"love you guys, but pls get some direct routes LAS to AUS!"
neutral,i would like help with some flights please.
neutral,Bruh a Turn down for what.
positive,of course! I work for and I am obsessed with the entire Virgin family!!
positive,ok! first time flying with you tonight :)
neutral,Digging the swanky pink mood lighting during the flight from NYC to SFO. Just needs a cabaret singer. Think about it!
neutral,"Done, but I need the receipt ASAP. Could you please help? -"
negative,I have d and d embossed badges and patches superior to the ones you are currently using.
negative,on VX from JFK to LA - dirty plane - not up to your standards.
negative,on flight VX headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline.
positive,got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. d
negative,your Avis rental continue button does not work on your website to book car. Tried times on phone. This sucks!
negative,delayed to . !!
negative,currently in minute of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?
neutral,Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race by @skift
positive,a Of course. Have fun celebrating!a Thanks! Happy Chinese New Year!
positive,Flight Booking Problems last second flight for next week from SFO- to SAN any chance you want to gift me a promo code since I love you guys
negative,Comenity Bank is a joke! Please change. Nothing but constant problems with this bank
neutral,"I just did, how can I DM? Do u have to also add me?"
positive,"For my Grandma Ella's th, she would &lt; a bday greeting from your flight crew! She was a stewardess for Eastern Airlines."
positive,Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER
positive,gave a credit for my Late Flight flight yesterday. Great service !!!! that is a Wow moment! Unexpected gesture!
neutral,I need a receipt for a flight change. Can you send one?
negative,I submitted a status match request a while back and still havenat heard! Iam flying on Monday. Can you look / accelerate?
positive,had me at their safety video . . . LOVED my first cross country flight.
positive,that does not look to fat to me! It looks yummy!
neutral,CEO says &amp; have strayed from low cost model.
neutral,a brilliant brisk am in Boston in cue for vx
neutral,Atlantic ploughs a lone furrow in the @TheNationalUAE
neutral,Atlantic ploughs a lone furrow in the @TheNationalUAE
neutral,Atlantic ploughs a lone furrow in the @TheNationalUAE
positive,omg omgdd nonstop Dallas to Austin on virginad+/-ai
positive,Your planes are really pretty. Just thought u should know that. :)
neutral,when are you flying to hawaii
negative,I am pulling my hair out trying to book a flight with u. Your site does not work on iPhone or iPad.do not have a computer
negative,Can I get some help with a support ticket? it is been days.... Incident: - Thank you!
positive,good to be home
negative,I cannot even open my laptop in seat C and I paid a premium for this?!! Let me out of here!
negative,I am in seat C and I cannot even open my laptop; and I paid extra for this seat!!
neutral,. If only you guys were starting those flights at the end of the month! Guess Iam still road tripping on Feb a
positive,"thanks for that. Been needing a way to make those Austin trips from DCA, and now you have come through!"
neutral,announced New Route to Austin w/fares from $ /way.
neutral,Really? Sprint? I thought you guys were 'kewl'! _
positive,this is too cool! Never been on ur planes but now I will!!
neutral,you should have dollar LAX-Las fares!!!
negative,FYI the info email address you say to contact in password reset emails does not exist. Emails bounce.
negative,Status match - weeks have gone by and no news.Flt next week - hope flt will count towards requirement. Cust Svc no help!!!
negative,your website sucks donkey dicks. Just thought you should know. All best.
neutral,You should still develop an app - then you will be my favorite airline.
negative,all crap channels which is why I pay to watch UK tv
positive,got it. All set - Thanks!
neutral,no A's channel this year?
neutral,Only thing I see on passbook is Virgin Mobile Mexico. How do I integrate?
positive,Giants and Virgin America. A match made in heaven.
positive,"thank goodness!! Also, see you friday, nwk&gt;sf.. BOOM!"
negative,how come you do not have an iPhone app? Still using and making me waste paper.
negative,Your back of seat entertainment system does not accept credit cards that have an apostrophe in the surname.
negative,When will VX use all LGA slots instead of today? Adding AUS makes this less likely :(
neutral,is helping me step up my game!
positive,I luv ur people and product! thing is y do u charge for herbal tea but not black tea? I am not a caffeine drinker
positive,thank you! See y'all soon! I am excited to see the expansion of destinations. Spread those wings!
neutral,announces new nonstop connecting &amp; $ intro:
neutral,adds Austin-Dallas Love Field route.
negative,sad to learn you no longer fly SFO &gt; PHL. Hope it returns!
neutral,"- can you tweet me the Cancelled Flight/chng fee for a flight? or can I rebook under one of your affiliates? If so, who are afiliates?"
positive,has the most INCREDIBLE customer service I have ever experienced! So refreshing!
neutral,"Now, when will we see VirginAmerica come to Philadelphia (PHL)."
positive,", am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?"
neutral,to start xweekly flights from to on APR
neutral,Nice to see you expanding in Texas but do not forget about us here in . I would love to see more flights out of here!
negative,kinda sucked my earphone jack did not work on my flight. They may want to look into that for future passengers
negative,Very poor experience. First computer problem now seat malfunction. Stuck. Missing meeting in San Diego.
neutral,to battle on route via @usatoday
positive,the DAL-AUS route makes my day!!!!
positive,awesome deals DAL-AUS for only $ each way!
neutral,I miss the in San Jose
positive,"love it, taking on in their backyard! Consumers win when biz competes."
positive,a is flying from Love to Austin now. That is most excellent news.
neutral,can we make every VX plane with ? Why should Austin be the only one getting nerd love?
neutral,please add more frequency to PDX Portland
positive,Congrats VX on the new route! aid
negative,"I tried that. You offered to charge me an additional $ k for a new ticket or be stranded until Thurs. st time, last time."
neutral,can u help with flights to get a y old battling cancer who needs treatment in dd d d d
negative,"Never had a bad experience before, but this one took the cake. Now extortion for carry on items as well?"
negative,Had to spend hours worrying that items in carryon would be broken/stolen since I could not carry them on plane or lock bag.
negative,"All of group E was told there was no more room in the bins. when I got on the plane, was room for at least bags in my row!"
negative,Thanks for making my flight from LAX to JFK a nightmare by forcing me to check my carry on bag at the gate. ( )
negative,I have lots of flights to book and your site it not working!!!! I have been on the phone waiting for over minutes..........
positive,I am all about the in flight artisanal cheese and wine pairing.
neutral,does Virgin America fly direct from Seattle to NYC or Boston?
positive,I am sure a lot of your and JFK-LHR flights go a lot faster than mph with a strong tailwind.
positive,now it is just t-minus minutes until my Elevate a Silver upgrade window opens . dd
neutral,save some for tomorrow AM!
negative,Why is it taking years to fly home to Dallas? Get your shit together.
neutral,club Virgin is bumping in New York
positive,would have been a rough trip but LUCKILY we were on a flight.
neutral,...Please come to Minneapolis St. Paul!
neutral,YES FYI MY BFF
positive,"another perfect flight. How come on your planes, the sun visors can stay down? Other carriers make you raise them?"
positive,"Nice RT The man of steel might be faster, but we have WiFi a just saying."
positive,I love the dancing little richard. cool beans.
positive,I donat use Passbook =/ I still love you though &lt; :) Iall just use my email in the future.
positive,thanks for the free birthday points! y'all are ALL RIGHT with me!
neutral,do you have an application for iOS? Was looking and only saw Virgin Mexico :( &lt;/
negative,Man of steel flies to more cities though...and with more frequency too.
positive,thanks so much for sharing. Just added it to my site
neutral,. I heard he has a virgin mobile hotspot ;)
neutral,you got cheese pLate Flights too.
neutral,On all your flights?
positive,Dad on Segway is the best part of this whole infographic!
positive,Are there any plans for a short haul airline in Europe? Would defiantly fly with you guys :)
positive,wifi AND better seating.
