sentiment,text,clean_tweet
1,@apple @iphone4 oh it's not fair and i think you're really mean,oh it is not fair and i think you are really mean
3,#whoknew Why isn't @Apple on Twitter? http://t.co/HmsbwjEL1K #interestingfact #passingthetime,Why is not on Twitter?
3,RT @JodiSpicer: #whoknew Why isn't @Apple on Twitter? http://t.co/HmsbwjEL1K #interestingfact #passingthetime,RT Why is not on Twitter?
5,IBM: @Apple iOS users account for 21.6% of ALL online sales. 3x @android users (6.6%). They are dominating. #business #sales #cybermonday,IBM: iOS users account for . % of ALL online sales. x users ( . %). They are dominating.
1,I HATE HOW IOS 8 CAPITALIZES RANDOM WORDS LIKE I DONT WANNA GIVE EMPHASIS TO SOME STUPID WORD IN THA SENTENCE GET UR SELF TOGETHER @Apple,I HATE HOW IOS CAPITALIZES RANDOM WORDS LIKE I DONT WANNA GIVE EMPHASIS TO SOME STUPID WORD IN THA SENTENCE GET UR SELF TOGETHER @Apple
3,@gr8american23 i've made clear i support rand paul in 2016 in most cases. why is everyone pigeonholed as red or blue? also u like @apple?,I have made clear i support rand paul in in most cases. why is everyone pigeonholed as red or blue? also u like
1,@apple why was the iphone 4 ever created,why was the iphone ever created
1,@apple I FUCKING HATE YOU http://t.co/xRxXK0rdot,I FUCKING HATE YOU
5,@apple please can I have new phone for Christmas? #spreadsomejoy,please can I have new phone for Christmas?
3,#Nasdaq100 #recent #market #exit #4: Sold $AAPL long for a 10.49% #gain in 20 days. #AAPL #forex #trading #stocks,: Sold $AAPL long for a . % in days.
3,.@Apple rumoured to be launching a 'Mega Tab' because #biggerisbetter http://t.co/UreeAozPaI,. rumoured to be launching a 'Mega Tab' because
3,"Apple Inc. PT Upped By Barclays, Morgan Stanley Trims Stake http://t.co/jgysEmQXBl #AAPL","Apple Inc. PT Upped By Barclays, Morgan Stanley Trims Stake"
1,IT'S NOT LIKE THE APP COSTS MONEY JUST LET ME DOWNLOAD IT @APPLE,it is NOT LIKE THE APP COSTS MONEY JUST LET ME DOWNLOAD IT @APPLE
3,"RT @HamzeiAnalytics: New HA Blog Post &gt;&gt;&gt; Final #AAPL #PutCallRatios for Monday, December 1, 2014:  http://t.co/FO160NRHfF","RT New HA Blog Post &gt;&gt;&gt; Final for Monday, December , :"
3,#AAPL:Jim Cramer's 4 Best Stock Picks for the Health Care Sector...http://t.co/CaQgzX0KiJ,:Jim Cramer's Best Stock Picks for the Health Care Sector...
1,My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple,My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple
3,"Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn","Steve Jobs, clave en juicio contra"
3,"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn","RT Steve Jobs, clave en juicio contra"
3,"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn","RT Steve Jobs, clave en juicio contra"
3,My laptop was completely dead and blacked out for 2 days &amp; I finally opened the inside and fixed it. Hire me @Apple,My laptop was completely dead and blacked out for days &amp; I finally opened the inside and fixed it. Hire me @Apple
1,@baseballbridget @apple we couldn't even get a turkey for TDay so they just don't care... #appleemojissuck,we could not even get a turkey for TDay so they just do not care...
3,"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn","RT Steve Jobs, clave en juicio contra"
1,RT @toricolelli: My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple,RT My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple
3,"#Apple (NASDAQ: #AAPL) Participates in World Aids Day Campaign: http://t.co/YytgUGXQNB: #Apple, #AAPL, Campaign... http://t.co/XT3Z1sx0P4","(NASDAQ: ) Participates in World Aids Day Campaign: , , Campaign..."
5,RT @_iamGambino: Thank you @Apple,RT Thank you @Apple
1,How long does it really take for a phone to ship @apple smh,How long does it really take for a phone to ship smh
3,@Apple #iPod lawsuit will reveal unseen Steve Jobs video http://t.co/nEF5qOGbHE,lawsuit will reveal unseen Steve Jobs video
3,RT @smartoutsource1: @Apple #iPod lawsuit will reveal unseen Steve Jobs video http://t.co/nEF5qOGbHE,RT lawsuit will reveal unseen Steve Jobs video
1,"So, on my iphone5, the @apple health kit is no longer gathering data.  Sigh.","So, on my iphone , the health kit is no longer gathering data. Sigh."
3,"Trade $AAPL #FREE Nightly Updates are #posted here on #Twitter, or you can visit the #Trade #AAPL FREE #website here http://t.co/U4TKeApbxF","Trade $AAPL Nightly Updates are here on , or you can visit the FREE here"
1,Thanks @apple for changing yet another fuck into duck...Thanks.,Thanks for changing yet another fuck into duck...Thanks.
1,@Apple YH News Apple tumbles as much as 6 percent in unusual trading: By Chuck Mikolajczak NEW YORK (Reuters) ...  http://t.co/hNuWafq0sI,YH News Apple tumbles as much as percent in unusual trading: By Chuck Mikolajczak NEW YORK (Reuters) ...
3,RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP,RT Brass band at Store Broadway
1,if i buy a 16 gb phone i should have 16 GB'S TO USE @apple,if i buy a gb phone i should have GB'S TO USE @apple
1,fuck you for BREAKING MY MUSIC @apple,fuck you for BREAKING MY MUSIC @apple
3,RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP,RT Brass band at Store Broadway
3,"Have #Apple, Inc.'s #iPad Sales Peaked? #AAPL http://t.co/2Wpaib3z9M","Have , Inc.'s Sales Peaked?"
3,RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP,RT Brass band at Store Broadway
3,Barclay's #Apple Analyst Joins The Crowd And Increases Price Target - Forbes #aapl http://t.co/6Z1DwxeCpE,Barclay's Analyst Joins The Crowd And Increases Price Target - Forbes
1,just need @apple to come out with a charger cord that keep a charge &amp; don't fall apart http://t.co/VZ8HDbMzlu,just need to come out with a charger cord that keep a charge &amp; do not fall apart
1,RT @AMANDAZUCKERMAN: You should be able to forward a voicemail. Why isn't that a thing? @apple,RT You should be able to forward a voicemail. Why is not that a thing? @apple
1,@apple and @facebook I speak for all of humanity; We want to chose what contacts are added to our contacts book from #facebook #thanks,and I speak for all of humanity; We want to chose what contacts are added to our contacts book from
1,@Apple I h8 everything about u,I h everything about u
3,@apple I want my pictures back,I want my pictures back
1,My phone is on acid right now @apple fix this,My phone is on acid right now fix this
1,@Apple I had a power cord problem- under warranty. You said it would be fine. It isn't. And now you won't replace it? http://t.co/fW3BoW53dj,I had a power cord problem- under warranty. You said it would be fine. It is not. And now you will not replace it?
1,@Apple This was NORMAL use-- NO ABUSE! Wrapped it exactly as you instructed me to. This is a fire hazard. You should replace it. #defective,This was NORMAL use-- NO ABUSE! Wrapped it exactly as you instructed me to. This is a fire hazard. You should replace it.
5,"@Apple BTW, I LOVE all of your products.  They rock!  Your power cords are junk.  You seriously need to fix this!","BTW, I LOVE all of your products. They rock! Your power cords are junk. You seriously need to fix this!"
3,RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP,RT Brass band at Store Broadway
1,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,RT Justice Department cites th century federal law to get to unlock iPhones:
1,Yo @Apple fix your shitty iMessage,Yo fix your shitty iMessage
5,#AAPL RT @AboveAvalon Apple's Share Repurchases Have Benefited Shareholders by $80 Billion  http://t.co/XHkqFr7whT,RT Apple's Share Repurchases Have Benefited Shareholders by $ Billion
5,"Even With Apple Watch Delayed, I'm Raising My AAPL Price Target To $165 - http://t.co/TGENjFl3zI #AAPL #Alex_Cho","Even With Apple Watch Delayed, I am Raising My AAPL Price Target To $ -"
5,I love @AIRMILES! Between @chaptersindigo &amp; @apple I earned ~200 miles during the #BlackFriday sale! #freemoney #centsability #cybermonday,I love Between &amp; I earned ~ miles during the sale!
1,Yo! @apple this auto correct shit gotta stop!!! changing my shit right when i send it,Yo! this auto correct shit gotta stop!!! changing my shit right when i send it
3,First @Apple logo was designed by co-founder Ronald Wayne. Drawing of Isaac Newton reading a book under an apple tree,First logo was designed by co-founder Ronald Wayne. Drawing of Isaac Newton reading a book under an apple tree
1,Those** PICK UP THE SLACK YOU FUCK BOYS @Apple,Those** PICK UP THE SLACK YOU FUCK BOYS @Apple
5,@surface maybe good product but never better then @apple MacBook Air .... It's a fact,maybe good product but never better then MacBook Air .... it is a fact
1,@Apple of course that's not their mother fucking @,of course that is not their mother fucking @
3,Apple Inc. Store Logos Turn Red For World AIDS Day http://t.co/nsBtAl4g75 #AAPL,Apple Inc. Store Logos Turn Red For World AIDS Day
1,the fuck kinda gay shit you print in the fucking ketosis @apple,the fuck kinda gay shit you print in the fucking ketosis @apple
1,Game*** @Apple you bitches really trying me tonight! RT @DreMacsAMillion: @WhoSFlyy__ gams night gawd,Game*** you bitches really trying me tonight! RT gams night gawd
3,Apple CEO Tim Cook comes out as gay @Apple   http://t.co/euFQQpMjj6  Via @posh360_Net,Apple CEO Tim Cook comes out as gay Via Net
1,RT @bella_bong_: @apple U need to get ur fucking shit together and let me txt while on YouTube,RT U need to get ur fucking shit together and let me txt while on YouTube
1,@apple @Disney Why can't I buy any version let alone the version I actually like of Star Wars on @iTunesMovies #stupid #lame #StarWars,Why can not I buy any version let alone the version I actually like of Star Wars on
3,@Apple @tim_cook Perhaps a less malleable metal for the shell of the #iPhone6SPlus. #noticedsomecurve,Perhaps a less malleable metal for the shell of the .
3,MacBook Pro 13   Non-retina First Startup: http://t.co/9l6RK2OLq2 via @youtube @apple #macbook #macbookpro #startup #hipster,MacBook Pro Non-retina First Startup: via
3,MacBook Pro 13in Unboxing: http://t.co/F3IM9YbpxF via @youtube @apple #macbook #macbookpro #startup #hipster #unboxing,MacBook Pro in Unboxing: via
3,iPad Mini Unboxing!: http://t.co/GnLy8W75nA via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unboxing,iPad Mini Unboxing!: via
3,iPad Mini First Time Startup!: http://t.co/vGHN798zzs via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unbox,iPad Mini First Time Startup!: via
3,@apple where the iPod 6 at doe?,where the iPod at doe?
1,"Can @apple drop Audio Only rendition requirement for iOS apps? 
Users hate it 
No other stores want it
Other platforms don't know what it is",Can drop Audio Only rendition requirement for iOS apps? Users hate it No other stores want it Other platforms do not know what it is
1,"None too happy with @Apple Mac OS X (Yosemite), File Vault 2, or Boot Camp right now. Thankful to own a @lenovo.","None too happy with Mac OS X (Yosemite), File Vault , or Boot Camp right now. Thankful to own a"
3,"#iPhone6S to #emerge spring 2015 with @Apple [#Apple] Watch?. (#Tuesday, 2 #December) http://t.co/NnGLuvYW6M","to spring with [] Watch?. (, )"
3,All my Apps on @apple #ipodtouch5thgen http://t.co/cRhwdbSxSx http://t.co/UNpPU4zrRq,All my Apps on
1,I demand there be a tapatio emoji @apple,I demand there be a tapatio emoji @apple
3,"#AAPL:
Call America for free until Christmas: Tesco cuts costs for relaunch...
http://t.co/ujvbkQVfqj",: Call America for free until Christmas: Tesco cuts costs for relaunch...
1,so for the second time #aapl #pages ate my edits. 700bn? #amateurs #fail #iwantjobsback,so for the second time ate my edits. bn?
1,feel so lost with out my phone :(  @apple iPhone 5 chargers are horrendous! #brokenchargerprobs,feel so lost with out my phone :( iPhone chargers are horrendous!
3,#AAPL:Apple heads to trial over digital music claims...http://t.co/vOpYSuiVKi,:Apple heads to trial over digital music claims...
1,Excellent news #HouseOfCards S3 on @netflix 27/2! I wonder if Yosemite &amp; my wifi will be talking by then @apple @tim_cook ? It's been wks!!,Excellent news S on / ! I wonder if Yosemite &amp; my wifi will be talking by then ? it is been wks!!
1,@apple my laptop is burning my legs what do u have to say about this,my laptop is burning my legs what do u have to say about this
5,@benh4ll @netflix @Apple @tim_cook Great news! hope your wifi gets sorted though!,Great news! hope your wifi gets sorted though!
3,The Secret of Life from Steve Jobs in 46 Seconds. Some #motivation from the late CEO of @apple http://t.co/7UOYKec9YN,The Secret of Life from Steve Jobs in Seconds. Some from the late CEO of
1,@HammerArcade This makes me feel so sad ;-; WHY DO U HAVE TO BE SO ROOD @APPLE,This makes me feel so sad ;-; WHY DO U HAVE TO BE SO ROOD @APPLE
1,I hate these @apple earphones so bad. Why in the world did they think it was a good idea to p http://t.co/X7lIGAQeG5 http://t.co/ihR2OGZa6s,I hate these earphones so bad. Why in the world did they think it was a good idea to p
3,@QuentinNield @Apple I need to reinstall on my Apple iPad 2,I need to reinstall on my Apple iPad
5,"@Apple, I salut you! @kcdenton's photo http://t.co/nmwlvZVjHS",I salut you! photo
3,MacBook Pro 13   Non-retina First Startup: http://t.co/9l6RK2OLq2 via @youtube @apple #macbook #macbookpro #startup #hipster,MacBook Pro Non-retina First Startup: via
3,MacBook Pro 13in Unboxing: http://t.co/F3IM9YbpxF via @youtube @apple #macbook #macbookpro #startup #hipster #unboxing,MacBook Pro in Unboxing: via
3,iPad Mini Unboxing!: http://t.co/GnLy8W75nA via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unboxing,iPad Mini Unboxing!: via
3,iPad Mini First Time Startup!: http://t.co/vGHN798zzs via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unbox,iPad Mini First Time Startup!: via
3,"Smartphone/tablet to become home automation hub, how can any wireless protocol beat #WiFi and #Bluetooth @apple #Homekit @ShortcutLabs #flic","Smartphone/tablet to become home automation hub, how can any wireless protocol beat and"
3,Options Outlook Amid Heavy Week Of Economic Events http://t.co/J7hj76F2sG #AAPL #GOOG #GOOGL #TSLA #WMT #PreMarket #Markets,Options Outlook Amid Heavy Week Of Economic Events
1,Why you dying so fast phone? Fuck you @apple,Why you dying so fast phone? Fuck you @apple
3,"It's been said 'don't talk about politics', But I can't take it anymr. I'll still post about @cisco, @apple and others. But we need change.","it is been said 'do not talk about politics', But I can not take it anymr. I will still post about and others. But we need change."
3,Does anybody knows how to use å£ on a Macbook Pro Retina US keyboard? Thank you so much! @apple #macbook #pro #apple #keyboard,Does anybody knows how to use a on a Macbook Pro Retina US keyboard? Thank you so much!
