airline_sentiment,clean_tweet,vader
positive,awesome. I flew yall Sat morning. Any way we can correct my bill ?,0.6249
neutral,"Or watch some of the best student films in the country at , feet!",0.6696
neutral,first time flying you all. do you have a different rate/policy for media Bags? Thanks,0.4404
negative,what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,0.4329
neutral,what happened to Doom?!,-0.4574
negative,why can not you supp the biz traveler like and have customer service like,0.61240000000000006
positive,I have applied more then once to be a member of the crew team...Im % interested. -G,0.4019
negative,you are the best!! Whenever I (begrudgingly) use any other airline I am delayed and Late Flight :(,0.2462
negative,I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.,-0.5037
negative,it was a disappointing experience which will be shared with every business traveler I meet.,-0.2023
negative,Iam having trouble adding this flight my wife booked to my Elevate account. Help?,0
neutral,can not bring up my reservation online using Flight Booking Problems code,-0.4019
neutral,Random Q: what is the distribution of elevate avatars? I bet that kitty has a disproportionate share,0.296
neutral,I &lt; Flying VA But Life happens and I am trying to my trip JPERHI Can you help.VA home page will not let me ?,0
negative,Why is the site down? When will it be back up?,0
neutral,"""You down with RNP?"" ""Yeah you know me!""",0.3595
neutral,"hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",0
negative,I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,0.0258
negative,"just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly",-0.5897
neutral,why is flight redirected?,0
negative,"Is it me, or is your website down? BTW, your new website is not a great user experience. Time for another redesign.",-0.5096
negative,I can not check in or add a bag. Your website is not working. I have tried both desktop and mobile,0
negative,- Let scanned in passengers leave the plane than told someone to remove their bag from st class bin?,-0.0516
negative,What is your phone number. I can not find who to call about a flight reservation.,0.0772
negative,is anyone doing anything there today? Website is useless and no one is answering the phone.,-0.61240000000000006
neutral,trying to add my boy Prince to my ressie. SF this Thursday from LAX,0
negative,why must a traveler miss a flight to Late Flight check a bag? I missed my morning appointments and you lost my business.,-0.6249
neutral,check out new music,0
negative,how is a direct flight FLL-&gt;SFO have unexpected layover in Vegas fuel yet peeps next to me bought for Vegas flight.,0
negative,your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,-0.6908
positive,"- amazing customer service, again! dd RaeAnn in SF - she is the best!",0.8619
negative,called your service line and was hung up on. This is awesome.,0.6249
negative,your site is tripping. I am trying to check in and I am getting the plain text version. I am reluctant to enter any card info.,-0.25
neutral,I was scheduled for SFO DAL flight today. Changed to th due weather. Looks like flight still on?,0.3612
positive,"has getaway deals through May, from $ one-way. Lots of cool cities",0.3182
neutral,"has getaway deals through May, from $ one-way. Lots of cool cities",0.3182
positive,"has getaway deals through May, from $ one-way. Lots of cool cities",0.3182
neutral,"has getaway deals through May, from $ one-way. Lots of cool cities",0.3182
positive,Have a great week da,0.6249
positive,come back to already. We need you to take us out of this horrible cold.,-0.628
negative,"should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",-0.4767
positive,"is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",0.8176
positive,and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,0.8654
positive,your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,0.8176
positive,"Love the team running Gate E at LAS tonight. Waited for a delayed flight, and they kept things entertaining",0.7351
negative,Use another browser! &amp; a brand with a reputation built on tech response does not have a cross-browser compatible website?,0
negative,"And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",-0.6597
negative,I like the customer service but a min delay just for connecting passengers seems too long. VA,-0.296
positive,thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,0.8016
positive,you have the absolute best team and customer service ever. Every time I fly with you I am delighted. Thank you!,0.8832
neutral,"Do you provide complimentary upgrades to first class, if there are available seats?",0.4404
negative,i need to change my flight thats scheduled in hours and min wait time on phone. Im calling intern. Help!!,0.508
positive,completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time.,0.908
neutral,How can I watch the on my JFK-&gt;SFO flight?,0
neutral,is flight Cancelled Flightled and what do I do if it is?,-0.25
negative,you are failing your customers because your check in process does not link to TSA pre-check.,-0.5106
negative,us too! Terrible airline! Just gave us a hotel hotline number and said sorry,-0.5696
neutral,has flight number from SFO to Cabo San Lucas arrived yet?,0.0772
negative,your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline Shame on you!,-0.6588
negative,I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,0.0772
positive,you ROCK for making it so I can watch on my flight!!,0
neutral,dropped a track on you...,0
negative,why can not we book seats on your flights when we buy them or even during check in? Creates so much anxiety!,0.1062
negative,you would think paying an extra $ bucks RT for luggage might afford you hiring an extra hand at,0.4939
positive,best customer service rep in the world! takes the cake!!!,0.7482
neutral,Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service d,0.6249
negative,please provide status for flight . I cant imagine it is on time as the Web indicates dude to weather here and/or Dallas,0.3182
positive,you have amazing staff &amp; super helpful as I just ran the they have spoiled me with comfort!!!,0.931
negative,"I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",-0.61240000000000006
negative,question: is it not possible to book a seat for an infant under ? it is not giving me the option but we want a seat for him.,-0.0176
positive,Always have it together!!! you are welcome! RT you are so welcome.,0.8416
positive,home to in' back to !,0
negative,. I do not understand why you need a DM to give me an answer on if you have a damaged luggage policy.,-0.4404
negative,. does that mean you do not have a policy for destroyed luggage?,-0.4939
neutral,is there special assistance if I travel alone w/ kids and infant? Priority boarding?,0.264
positive,thank you for checking in. tickets are purchased and customer is happy ;-),0.802
neutral,is your website ever coming back online?,0
neutral,"- Is Flight from Love Field to SFO definitely Cancelled Flightled for Monday, February ?",0.7096
neutral,Is flight out of LGA to DFW on time?,0
neutral,my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,0
negative,having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone. phone is minute wait.,-0.6908
negative,How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,-0.3164
negative,"I rang, but there is a wait for minutes!! I can book the same ticket through a vendor, fix your site",0
negative,"got a flight (we were told) for : today..,checked my email and its for ; TOMORROW. This is unacceptable.",-0.4588
negative,"our flight into lga was Cancelled Flighted. we are stuck in Dallas. I called to reschedule, told I could get a flight for today...( / )",-0.4588
negative,why do not any of the pairings include red wine?! Only white is offered :(,-0.4926
negative,is the website down?,0
negative,- Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS?,-0.2263
negative,I am disappointed that the agent at the designated silver status check in line closed to assist all pasengers,-0.4767
neutral,Plans to Include Austin to its Dallas Route - TopNews Arab,0
negative,Is it normal to receive no reply from Central Baggage,-0.296
negative,at Logan airport and waiting to checkin for my am flight. Checkin desk not open !!!!! Why?!,0
neutral,to jump into the Dallas-Austin market -,0
neutral,"Beats EPS Views, Takes On VA LUV - Investor's Business Daily",0
neutral,Lister to my show my on Monday,0
neutral,to begin Dallas-Austin in April - . KETR,0
negative,"congrats, you just got all my business from EWR to SFO/LAX. Fuck you fl SFO/EWR was the clincher...",-0.0258
negative,I applied over weeks ago. Haven't heard back and I am flying this week,0
neutral,I would love to know what your policy is for damaged luggage.,0.3182
positive,Thank you for the follow,0.3612
negative,- too many apologies! You r the worse airlines! do not even respond to your cudtomers,-0.5696
negative,shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,-0.5255
neutral,can you please have flights in SJC ? I have no choice but to fly Southwest to Vegas d(C)d-,0.0129
negative,too bad you say it takes to days via YOUR confirmation email. When I inquired after weeks you claim to weeks!,-0.5848
negative,Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are + hour. Will you rebook on another airline?,-0.4939
positive,d RT Youave met your match. Got status on another airline? Upgrade (+restr):,0
positive,Only way to fly!,0
neutral,If only you guys had flights from CMH.,0
negative,"a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",0.4756
negative,for all my flight stuff wrong and did nothing about it. Had ever,-0.4767
neutral,Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,0.128
positive,you will match my status? Cool!,0.3802
neutral,a met your match.Got status on another airline? Upgrade : ? d,0
negative,trying to book a flight with you guys and your website will not let me... about to lose my business,-0.4019
negative,Just DM'd. Same issue persisting.,0
negative,Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,-0.1179
negative,trying to book a flight &amp; your site is down d,0
negative,You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and did not do anything,-0.25
negative,you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook . better,-0.6075
positive,I love your guy's song! we are dancing to it for our high school dance revue,0.6696
negative,Your website is down and I am trying to check in!,0
positive,"done! Thank you for the quick response, apparently faster than sitting on hold ;)",0.5707
neutral,nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,-0.2462
positive,cool picture of another VirginAmerica plane off our wing. What a site!,0.3802
positive,Keep up the great work :),0.7964
positive,my goodness your people field are amazing under pressure aifrom Texas in crisis Please fly me to NY,0.4215
positive,Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now?,0.908
neutral,can you please get me to the new york area before monday afternoon,0.3182
positive,"Thanks so much for the awesome support, you guys rock!",0.8748
negative,seats in Row do not recline should mention that on your website,0
negative,flight delayed hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,0.5994
negative,why Cancelled Flight flights today? No precipitation to be scared of! aiaiai,-0.75
positive,twitter team. you guys killed it for rescheduling me asap. thank you!,-0.5093
negative,You guys charged me $ to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. what is the deal?,-0.6705
negative,canat access your website from Safari on iPhone . Seems to work on Mac and iPad. Need iPhone to add Passbook.,0
neutral,"on iPad and iPhone, clicking the CHECKIN link in the email I received at hrs before flight",0
negative,"your mobile site is broken, shows ""{{header.elevateUser.numOfPointsAvailable || ' ' | number}} Points"", will not let me checkin",-0.4215
negative,I was really looking forward to my flight. can you let me know when it will be rescheduled?,0
negative,"why Cancelled Flight flight VX ? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?",-0.6641
negative,I did it but there was a problem in the link from the email for check-in. thanks,0.0772
negative,had to change to another airline to get to DC today ... Why is able to land in DC but not you? Cost me $ ...ugh,-0.5719
negative,I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,-0.3612
positive,when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love!,0.8622
positive,wish I can afford to fly with you next Friday going back home.. love everything about your airline,0.7845
negative,how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas?,-0.4215
neutral,"itas just a bug report, guys",0
negative,hold times at call center are a bit much,0
positive,You have the best flight attendant ever!!!,0.7249
positive,"Awesome! RT Watch nominated films at , feet.",0.6588
negative,"Trying to reset my password, email never arrives. Help?",-0.3089
positive,the only airline based in Silicon Valley!,0
positive,Very nicely done. d,0.4927
positive,Iam looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;),0.2942
negative,What is the reason for the delay of the departure of VX from JFK this afternoon?,-0.3182
negative,"is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",-0.25
positive,hahaha d YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!d,0.9427
positive,sounds like fun !,0.7263
neutral,any updates on flight from Jfk &gt; Lax,0
negative,"the CSS on your site is a right now, please fix. Site unusable.",0.3182
negative,"we are on flight Vegas to Boston today, checked in online but our bag count did not register. Can I fix that somehow?",0
positive,"classiq, luv Virgin America. Greetingz",0
negative,"Hi, I am trying to do check-in but the website is not working. I tried different browsers and the problem continues",-0.54990000000000006
positive,Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,0.8588
positive,thanks guys! Sweet route over the Rockies,0.7345
positive,love the s music blasting at gate in while waiting for flight to . Only if I could get an iced coffee!,0.6696
negative,"- the passenger in D, Flt that assaulted me should not have flown. I trust he is banned. Crew filed report to @FAANews",-0.4767
negative,current bug on website shows aselect departure citya when selecting destination city,0
negative,luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) was not any help.,-0.6437
positive,"thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free.",0.872
neutral,"If you would love to see more girls be inspired to become pilots, RT our free WOAW event March - at ABQ.",0.8993
positive,Thanks! Good times there and back! the entire flightd,0.7494
neutral,"beats expectations, shares take off - Santa Cruz Sentinel",0.296
neutral,any plans to start flying direct from DAL to LAS?,0
neutral,BIG Love/gratitude.mpower w/ weRin VIPswagbags,0
positive,you are doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!,0.86
negative,requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver memberd,-0.2638
neutral,This is what you missed Next trip to the .,-0.296
negative,I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,-0.4371
negative,there is something wrong with you website in Safari iPhone,-0.4767
positive,thanks for gate checking my baggage on your full flight dfw-lax and giving me early boarding too,0.6486
negative,Already checked in so the page expired :X,0
negative,Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!,-0.1316
neutral,shares rise on Q financial results - USA TODAY,0.296
neutral,Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race,0
positive,I see what you did there ;),0.2263
neutral,way to take advantage of :),0.61240000000000006
neutral,you know I am flying virgin for the fight,-0.3818
positive,your inflight team makes the experience !,0
positive,cutest salt and pepper shaker ever. Just when I think you guys can not get any better you just do!,0.3991
negative,"moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selectedd",-0.5583
neutral,shares up on Q results -,0.296
positive,we have a hot female pilot! Sweet! DCA to SFO! :-),0.7332
neutral,ddaiaid When are you guys going to start flying to Paris? you are welcome.a,0
neutral,what is your policy on flying after surgery? I am still waiting for answer so I can tell me doctor.,0
negative,already contacted Central Baggage &amp; sent DM. is charging me for the dress that was in the lost suitcase,-0.3182
negative,Is there anything going on with the website? I have been getting a lot of errors past minutes.,-0.34
neutral,I think i left something on the plane yesterday. who do i call...ah!,0
neutral,I need you to follow back in order to DM.,0
neutral,Need to start flying to . dddd,0
neutral,they told to check with the airline regulation first so that is why I contacted you.,0
negative,I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!,-0.3561
negative,husband and I ordered three drinks via my screen and they never came. Awesome!,-0.5553
negative,soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-),0.2732
neutral,what is your policy on flying after surgery?,0
neutral,posts second consecutive full-year net profit -,0.4404
negative,"Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!",-0.6476
positive,would love to do more for virgin just like I do for @GoPro,0.7717
neutral,Results Handily Exceed Forecasts -,0
neutral,"I applied for a position in ,and I was wondering if you guys received my application.",0
neutral,achieves a second year of profitability despite revenue pressure ... -,0.4567
neutral,"gives positive outlook, but sees increased competition -",0.6059
negative,I am trying to check into my : AM CT flight tmm on the desktop website and it is not working (some sort of caching bug) SOS,0
neutral,weather delays &gt; next few weeks ;),0.2263
neutral,check the website before you go to the airport!,0
negative,Do you guys know your check-in links from emails are broken?,-0.4767
neutral,pilot says we expect a choppy landing in NYC due to some gusty winds w/a temperature of about degrees &amp; w/the windchill -,0
positive,loved it. can not wait for Monday's return flight... Mostly just to watch the inflight safety video again.,0.7717
negative,"lost my luggage days ago on flight VX from LAX to IAD &amp; I am calling every day, no response.Please give me back my stuff",-0.5423
negative,The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.,-0.7003
positive,Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!,0.8264
positive,"I mean. Probably inappropriate while on board.. But, it is on!",0
positive,happy to spend the day together. let us do this!,0.6114
neutral,is saving my sanity right now:,0
neutral,missed my flight. How does standby work?,-0.296
positive,. They were very understanding and helped me out. Thx!,0.4199
neutral,brought it all the way across the country today I see,0
positive,thank you! I absolutely will d,0.4199
negative,Looks like a broken link for your assets,0.0258
neutral,are you ready!? let us say it together.. 'Noooo turbulence today!' d,0.4738
negative,the manage itinerary section of your website seems to be broken for me,-0.4767
negative,"can not check in, your site looks like this every time it loads",0.3612
neutral,can u help this d needs urgent treatment indd y old battling cancer could u help with flights d,-0.0772
neutral,may start service to Hawaii from this year,0
negative,Other carriers are less than half price for a round trip fare. I am stunned.,-0.1027
negative,WTF is happening in PDX Late Flight March such that one way from SFO is ~$ ?,-0.6739
neutral,add DTW and I am sold!,0
positive,How about some free drinks on the flight back for the free promo?,0.765
neutral,momma I made it! ddd,0
neutral,please contact me about portfolio left on flight VX from JFK to SFO tonite seat AM. Need it returned. Call - - .,0.3182
neutral,help. I was On Flight from JKF tonight. seat C left portfolio. Need it back!!,0.508
neutral,Seattle bound. Wifey got me the duffle for vday. She is a keeper!!! Holla!!!,0
negative,"my luggage is gone. I have filed my paperwork, promised a call/email. Still no resolution or response from central luggage.",0.0772
neutral,Debbie Baldwin gave a performance of the safety demo this evening on VX,0.4215
positive,thanks for taking care of on her flight!!,0.7707
positive,Thanks for the lovely soft views! to,0.7901
negative,I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?,0.5719
negative,"Just trying to book tickets to NYC and facing super fun broken styling. do not worry, I will keep trying :)",0.8593
neutral,Many Thanks for the Follow. Looking for Any Helpd ddddddd ddd,0.4404
negative,Applied for Status Match on Feb . Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly d,-0.296
neutral,is my new go to airline,0
neutral,Can You Help in need of some help in ddddddd,0.6597
positive,"I adore you, and am so looking forward to my flight to Austin in two weeks.",0.5574
positive,I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.,0.5949
neutral,Flight Booking Problems flight to uphold my status match. Do taxes on ticket count as earned status points?,-0.4019
negative,trying to check-in...but looks like your site is down?,0.3612
negative,"spending my birthday night with you, DAL-DCA. Get me home!",0
negative,Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.,0.3291
positive,"first time flying Virgin, went to .Thanks for the smooth ride. Easily my new fav airline!",0.8221
negative,"seriously, though. will there not be direct flights from SFO-FLL in may???",-0.3049
negative,it is fine. Already done with my purchase. But you should try it. Just go most of the way through then go back,0.1027
negative,"not really the experience I was hoping , I ws forced check in a small carry on, w/ nothing but empty cabin space on board",0.1994
negative,wjere is our luggage slow at lax,0
neutral,to jump into the market,0
negative,"I spoke with a representative that offered no solution, I am a loyal customer who flies on as well",0.5003
negative,I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email,-0.5256
negative,"what happened to direct flights from SFO-FLL? Looking in May, only see connecting",0
neutral,Can you help? Left my blazer in. Kooples jacket bag at rd row second seat from right gate T lax.. Flight to sfo,0.4019
neutral,partners with Checkout as mobile payment method to help boost mobile conversion rates,0.6597
positive,"just promoting the product is all, had a problem with southwest and recommend noneother than the best!",0.7777
positive,"love you guys, but pls get some direct routes LAS to AUS!",0.5175
neutral,i would like help with some flights please.,0.7579
neutral,Bruh a Turn down for what.,0
positive,of course! I work for and I am obsessed with the entire Virgin family!!,-0.3769
positive,ok! first time flying with you tonight :),0.5093
neutral,Digging the swanky pink mood lighting during the flight from NYC to SFO. Just needs a cabaret singer. Think about it!,0
neutral,"Done, but I need the receipt ASAP. Could you please help? -",0.7579
negative,I have d and d embossed badges and patches superior to the ones you are currently using.,0.5423
negative,on VX from JFK to LA - dirty plane - not up to your standards.,-0.4404
negative,on flight VX headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline.,-0.34
positive,got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. d,0
negative,your Avis rental continue button does not work on your website to book car. Tried times on phone. This sucks!,-0.4883
negative,delayed to . !!,-0.3578
negative,currently in minute of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?,0
neutral,Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race by @skift,0
positive,a Of course. Have fun celebrating!a Thanks! Happy Chinese New Year!,0.8951
positive,Flight Booking Problems last second flight for next week from SFO- to SAN any chance you want to gift me a promo code since I love you guys,0.7717
negative,Comenity Bank is a joke! Please change. Nothing but constant problems with this bank,0.6629
neutral,"I just did, how can I DM? Do u have to also add me?",0
positive,"For my Grandma Ella's th, she would &lt; a bday greeting from your flight crew! She was a stewardess for Eastern Airlines.",0.4389
positive,Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER,0.9235
positive,gave a credit for my Late Flight flight yesterday. Great service !!!! that is a Wow moment! Unexpected gesture!,0.913
neutral,I need a receipt for a flight change. Can you send one?,0
negative,I submitted a status match request a while back and still havenat heard! Iam flying on Monday. Can you look / accelerate?,0
positive,had me at their safety video . . . LOVED my first cross country flight.,0.8143
positive,that does not look to fat to me! It looks yummy!,0.6103
neutral,CEO says &amp; have strayed from low cost model.,-0.2732
neutral,a brilliant brisk am in Boston in cue for vx,0.6597
neutral,Atlantic ploughs a lone furrow in the @TheNationalUAE,-0.2732
neutral,Atlantic ploughs a lone furrow in the @TheNationalUAE,-0.2732
neutral,Atlantic ploughs a lone furrow in the @TheNationalUAE,-0.2732
positive,omg omgdd nonstop Dallas to Austin on virginad+/-ai,0
positive,Your planes are really pretty. Just thought u should know that. :),0.7574
neutral,when are you flying to hawaii,0
negative,I am pulling my hair out trying to book a flight with u. Your site does not work on iPhone or iPad.do not have a computer,0
negative,Can I get some help with a support ticket? it is been days.... Incident: - Thank you!,0.8016
positive,good to be home,0.4404
negative,I cannot even open my laptop in seat C and I paid a premium for this?!! Let me out of here!,0
negative,I am in seat C and I cannot even open my laptop; and I paid extra for this seat!!,0
neutral,. If only you guys were starting those flights at the end of the month! Guess Iam still road tripping on Feb a,0
positive,"thanks for that. Been needing a way to make those Austin trips from DCA, and now you have come through!",0.4926
neutral,announced New Route to Austin w/fares from $ /way.,0
neutral,Really? Sprint? I thought you guys were 'kewl'! _,0.4501
positive,this is too cool! Never been on ur planes but now I will!!,0.3666
neutral,you should have dollar LAX-Las fares!!!,0
negative,FYI the info email address you say to contact in password reset emails does not exist. Emails bounce.,0.368
negative,Status match - weeks have gone by and no news.Flt next week - hope flt will count towards requirement. Cust Svc no help!!!,-0.3472
negative,your website sucks donkey dicks. Just thought you should know. All best.,0.4019
neutral,You should still develop an app - then you will be my favorite airline.,0.4588
negative,all crap channels which is why I pay to watch UK tv,-0.4588
positive,got it. All set - Thanks!,0.4926
neutral,no A's channel this year?,-0.296
neutral,Only thing I see on passbook is Virgin Mobile Mexico. How do I integrate?,0
positive,Giants and Virgin America. A match made in heaven.,0.5106
positive,"thank goodness!! Also, see you friday, nwk&gt;sf.. BOOM!",0.7488
