clean_tweet,Timestamp,vader
"Jeff explaining the super cycle in most metals & oil/gas - we are at best in first inning. Why? Solving income equality & climate change (green revolution) both take decades. copyright is the best possible interviewer. podcasts.apple.com Smarter Markets: What are SmarterMarkets? Episode | Jeff Currie, Goldman Sachs Global Head of... Sendung Smarter Markets, Folge What are SmarterMarkets? Episode | Jeff Currie, Goldman Sachs Global Head of Commodities Research - . Jan.",2022-01-17T23:40:31Z,0.9692
Took weeks after seeing but just remembered reading a metaphor comparing climate change to a meteor in a little-known jaunt called The Carbon Age.,2022-01-17T22:45:55Z,0.0
"Now more than ever, I need a time machine to jump back years and tell myself that everyone hates Joss Whedon now. Also climate change, global disease and the corrosion of democracy by racist authoritarians, but mostly the Whedon thing.",2022-01-17T22:50:12Z,-0.5346
"Wonderfully clear-eyed, balanced and non-alarmist testimony on climate change from Carl Sagan given to Congress in youtube.com Carl Sagan testifying before Congress in on climate change Original source: , ""Witnesses testified on how the greenhouse effect will change the g...",2022-01-17T23:03:21Z,0.7351
it is Time for Businesses to Adapt to Climate Change. How Should They Do It? entrepreneur.com it is Time for Businesses to Adapt to Climate Change. How Should They Do It? Business leaders need to understand the entire range of opportunities in climate mitigation and climate adaptation.,2022-01-17T23:00:34Z,0.4515
"If you are interested in these issues rather than just pot shots at a govt you do not like in Australia, then this is a great opportunity to engage a little more deeply on the Pacific, humanitarian issues, climate change issues, and our broader aid policy...",2022-01-17T22:58:03Z,0.8717
"'The most important thing any of us can do about climate change is use our voices to advocate for change at every level, from our homes and our neighborhoods to our cities and our countries.' insideclimatenews.org Inspired by King's Words, Experts Say the Fight for Climate Justice Anywhere is a Fight for Climate... Terms like ""environmental racism"" or ""environmental justice"" were not yet part of the national lexicon when the Rev. Martin Luther King Jr. was assassinated at the Lorraine Hotel in Memphis on April...",2022-01-17T23:25:00Z,0.6478
Replying to I am not gonna take climate change advice from someone literally owned by Big Oil. No thanks. Peddle your propaganda elsewhere.,2022-01-17T23:33:29Z,-0.5277
"Youngkin says ""coastal resiliency is critical"" b/c of Port of Va and military assets in Hampton Roads, pledges to create Coastal Virginia Resiliency Authority ""to battle rising seas."" No mention of climate change.",2022-01-17T21:49:02Z,-0.4588
Replying to BREAKING: Colorado woman who believes Meteorologists study comets weighs in on climate change,2022-01-17T23:35:15Z,0.0
"pushes to add climate change education in schools: ""Our generation has failed to save the climate but at least we can give the next one a chance to fight with the best available tool - which is "" apnews.com Romania pushes to add climate change education in schools BUCHAREST, Romania (AP) - Romania's president wants to add sections on climate change and environmental issues to the national school curriculum to enable students to learn more about the challenges...",2022-01-17T23:29:24Z,0.7714
"As we honor the legacy of Dr. Martin Luther King Jr., let us remember his influence on environmental justice, which recognizes the adverse effects of climate change are disproportionately felt by historically underserved communities: inverse.com overlooked ways Martin Luther King Jr. influenced environmental justice Dr. King's legacy made the environment a social justice issue. Here are seven ways his influence continues to guide the environmental movement today.",2022-01-17T23:16:35Z,0.8957
"""Why protecting the planet is essential to preventing future "" - as featured in edition.cnn.com Opinion: Why protecting the planet is essential to preventing future pandemics Both habitat loss and the wildlife trade increase the likelihood that diseases will make the jump from animals to humans.",2022-01-17T23:36:09Z,-0.0516
"Lessons From Dr. King's Letter From A Birmingham Jail For The Climate Crisis: Written from jail, a stirring letter from Dr. Martin Luther King has lessons for the climate change crisis forbes.com Lessons From Dr. King's Letter From A Birmingham Jail For The Climate Crisis Written from jail, a stirring letter in from Dr. Martin Luther King has lessons for the climate change crisis",2022-01-17T22:09:00Z,-0.9545
Via : what is the real role of volcanoes in climate change? euronews.com what is the real role of volcanoes in climate change? what is the role of volcanoes in climate change? We report from the Spanish island of La Palma and reveal the true influence of the emissions from the Cumbre Vieja volcano on our atmosphere.,2022-01-17T21:00:55Z,0.5171
"This is peak as much as I value the organisation. do not Look Up is entirely and unequivocally an allegory about climate change and how the media does not get it. The writer/director have said nothing else for weeks. Here's the not getting it bbc.co.uk do not Look Up: what is the plan to deal with asteroids and comets? Hollywood loves movies about space rocks hitting earth, but how would we deal with the real thing?",2022-01-17T22:20:45Z,0.5283
"This is such a great talk on healthcare and climate change by Dr. Jodi Sherman Mandatory watching for everyone, but esp anyone in healthcare and/or concerned about climate change from healthcare! via youtube.com Research Day keynote lecture by Dr. Jodi Sherman Research Day keynote lecture by Dr. Jodi Sherman",2022-01-17T20:50:02Z,0.4574
Great guest post by on 's substack on how and others have become counter productive on climate change b/c of capture by NIMBYs (and sometimes utilities). I stopped supporting these orgs years ago b/c of this. noahpinion.substack.com America's Top Environmental Groups Have Lost the Plot on Climate Change A guest post by Wally Nowinski,2022-01-17T21:34:31Z,0.6808
"Here is an old paper of mine critiquing climate geoengineering: Pielke, Jr., R. . A Perspective Paper on Climate Engineering: Including an Analysis of Carbon Capture as a Response to Climate Change, Copenhagen Consensus Center.",2022-01-17T22:05:47Z,0.0
Replying to Climate change is real but that is not what caused this bear to become sickly. It is dying a natural death unrelated to climate change. Careful not to use images for the deniers to use against you.,2022-01-17T22:31:00Z,-0.5927
"I remember learning about the earth's cycles, and how they were being affected by climate change. I remember helping my mom and with their presentation on the jet stream, and I got to attend the presentations of everyone in Lisa's class: /",2022-01-17T22:36:31Z,0.1531
"""In the end, climate change is not a scientific or technical problem. The scientific community understands how fossil fuels cause climate change, and technology to solve the problem exists. Rather, climate change is a political problem."" - Quote Tweet Andrew Dessler Jan I have something out in the about fossil fuels. tl;dr: fossil fuels are terrible, we do not need them, but we are not switching b/c th century economists convinced us to let corporations run our economy. Show this thread",2022-01-17T21:43:01Z,-0.1655
"years of climate change in seconds GIF , ,",2022-01-18T20:52:39Z,0.0
"BREAKING: Exxon and other oil giants are now claiming that suing them over lies about climate change violates their Free Speech rights. A planet-destroying industry turns the Constitution on its head to protect its profits. ,",2022-01-18T22:29:04Z,0.1531
Our voice on climate change will be louder when we act together.,2022-01-18T23:52:26Z,0.0
that climate change girl is a movie director? GIF ALT Quote Tweet Film Updates Jan Greta Gerwig's 'BARBIE' starring Margot Robbie and Ryan Gosling will begin filming next month in London.,2022-01-18T22:41:22Z,0.0
"The ignorance towards climate change has its roots in a deep conviction that mankind will be able to avoid it somehow! From the moment we learned how to calculate the move of our planets we became arrogant, thinking ALL can be controlled! This arrogance takes us down Doomslane. Quote Tweet Matthew Todd Jan Why will not the media tell the public that scientists such as our former Chief Scientist, Sir David King, acknowledges billions may die because of climate change within our kids lifetimes. Here at . NASAs James Hansen warns 'equivalent to an asteroid hit'",2022-01-18T22:57:28Z,-0.95
"Next AI + Climate Change reading group will be Tues Jan th at pm PST. we will hear from Salva Ruhling Cachay on ""ClimART: A Benchmark Dataset for Emulating Atmospheric Radiative Transfer in Weather and Climate Models""",2022-01-18T22:39:57Z,0.0
"Sometimes, I wonder if more people would rush to get behind the National Retrofit Strategies we need to tackle climate change+fuel poverty, if they knew how energy inefficient their home (likely designed to last years tops) is+just how rare routine maintenance of buildings is?",2022-01-18T23:20:41Z,0.2732
I hate how big corporations have brainwashed society that it is the individual's job to fix climate change. We should be policing the big guys fucking up the planet with all their polution,2022-01-18T23:51:15Z,-0.5719
"Novak Djokovic is not being ""singled out"". Beating Covid is a team thing. If you do not want to be on the jab team you will not be forced to. Just heavily restricted when you do not. Is how we beat Polio and now Climate Change. Polluting businesses are being taxed and shunned.",2022-01-18T23:15:43Z,-0.5175
"Guy who wants government services but also tax cuts, and wants to fight climate change but also to drive everywhere and have ample parking when he gets there, and wants politicians to cater to his issues but does not want to vote",2022-01-18T22:25:06Z,-0.7603
"also for a party that is so concerned about the environment and climate change, it does not make sense that y'all want us to wear disposable masks. y'all want those to fill up our landfills????",2022-01-18T23:24:03Z,0.644
"Why give people money and healthcare and social services and address climate change and housing when you can just fleece some dopey VCs on ""synthetic wombs, etc"" lmao Quote Tweet Sahil Jan Replying to We should be investing in technology that makes having kids much faster/easier/cheaper/more accessible Synthetic wombs, etc",2022-01-18T23:09:25Z,0.5994
NERPS Hiroshima University invites you for the th NERPS Webinar ( January at . - . AM JST) featuring Dr. Yvette Baninla. She will discuss the current situation of African climate change research. It will be a hybrid event. Register here,2022-01-18T23:00:21Z,0.0
"In the months and years ahead, climate change is only going to keep fueling natural disasters in Colorado like the . For the sake of our health, economy, and communities in the West, Congress must act. It has never been more urgent. thehill.com The most destructive fire in Colorado history: What I have been working my whole career to prevent We cannot tackle this alone. Federal leadership on climate change is required to help accelerate climate solutions.",2022-01-18T23:56:27Z,-0.7295
"UK Climate Change Risk Assessment (by Conservative government) required under Climate Change Act highlights massive economic costs of climate inaction, massive economic benefits of climate action Meanwhile Scott Morrison will not even let a Climate Change Act here be debated ... Quote Tweet Conservative Environment Network Jan The government has found that stalling on climate could cost the taxpayer billion every year by , whereas investment in adaptation reaps for every spent",2022-01-18T21:32:48Z,-0.3182
Please sign and share this to help fight Climate Change.,2022-01-18T22:27:27Z,0.5574
Art institutions are not doing enough to lead on climate change. Here's how the industry should rethink its responsibility:,2022-01-18T22:42:03Z,0.0
"Before energy companies got into the business of spreading weaponized disinformation denying and obscuring climate change and its causes, they recognized it as an existential threat: truthorfiction.com Did Shell Release a Short Film About the Dangers of Global Warming? The video",2022-01-18T22:41:56Z,-0.743
"Indigenous communities at higher risk of climate change-induced flooding, study shows via ctvnews.ca Indigenous communities at higher risk of climate change-induced flooding, study shows A recent study has found that Indigenous communities are at a higher risk of climate change-induced flooding because of the pre-existing socioeconomic hardships they face, such as the legacy of...",2022-01-18T21:43:46Z,-0.6486
Is the US decision to shift its focus from the gas pipeline to regional electricity interconnectors an opportunity for to reframe the dialogue around energy and climate change in the region? makes the case on our podcast:,2022-01-18T22:55:46Z,0.5994
"This is excellent. it is also worth a listen to Professor Jamie Woodward talking about both micro plastics and climate change on GeogPod Quote Tweet Environmental Audit Committee Jan What causes the high concentrations of microplastics found in riverbeds? Professor Jamie Woodward explains below Our Water Quality in Rivers report is out now, read it at",2022-01-18T22:44:14Z,0.6808
"""policy will come along"" to address climate change, the CEO of Exxon says, as if his company and peers haven't spent decades fighting at every turn to make sure that type of policy is as weak and delayed as possible Quote Tweet Squawk Box Jan ""As you go through , if society is going to achieve this ambition of net zero, policy will come along, market incentive will come along, advances in technology will come along, and that will help drive the cost of those outer-years down,"" says CEO Darren Woods.",2022-01-18T22:07:23Z,0.5873
Brilliant talk this evening by Professor Myles Allen for 's School of Climate Change about the science behind climate change. His conclusion: We must make the extractors and vendors of fossil fuels responsible for disposing of the waste their products generate.,2022-01-18T20:43:11Z,0.5106
"Replying to Climate change, integrity (fed gov't & int'l), housing affordability & equity, and a vision for the future would not go astray.",2022-01-18T22:23:39Z,0.5574
"% of U.S. Latinos consider addressing global climate change a priority vs. % of non-Hispanics, a Pew poll finds. Now, a virtual summit is highlighting environmental activism among Latinos. axios.com Climate change hits home for Latinos Climate change and pollution have outsized impacts on communities of color in the U.S.",2022-01-18T23:00:31Z,0.0
"King County is looking for members of frontline communities most affected by climate change to join the Re+ Community Panel, a program that is dedicated to addressing climate change through preventing and reducing waste. Applications due on Friday, Jan .",2022-01-18T21:41:00Z,0.1045
"Canadian companies know that to talk about periods is to talk about climate change and income inequality and trans rights-and it seems that everyone else is meeting them in their moment. canadianbusiness.com How Canada Became a Period Product Hotspot The country has become a hub for sustainable menstrual products including period underwear, cups and reusable tampon applicators.",2022-01-18T22:00:10Z,0.0
Replying to and others It is not green. This administration is a terrible disappointment to me . Yes stop talking about climate change and basically stand by while wildlife are eradicated.,2022-01-18T23:22:17Z,-0.7096
"Honoured to speak with New Brunswick Committee on Climate Change and Environmental Stewardship today on building resilience, reducing GHG emissions, and driving long-term competitiveness Quote Tweet Louise Comeau Jan Some coverage of today's legislative hearings including from and",2022-01-18T21:48:48Z,0.4939
"Climate change is water change. Find out how data centers like are using 's Water Risk Atlas to adjust how their facilities use water in areas facing high like Carrollton, Texas:",2022-01-18T21:07:04Z,0.4404
"""Any suggestion that we engaged in disinformation to mislead the public on climate change is simply wrong."" ( / ) ""But if we did lie, then it is free speech."" ( / ) theguardian.com How Exxon is using an unusual law to intimidate critics over its climate denial America's largest oil firm claims its history of publicly denying the climate crisis is protected by the first amendment",2022-01-18T23:11:56Z,-0.6858
"In , worked to address climate change via climate-smart agriculture and forestry. USDA-NIFA and other agencies and organizations have partnered with to pursue transformational advances in a range of economic sectors and science and engineering fields. ALT",2022-01-18T21:09:42Z,0.0
"""Larry Fink apparently wants to be above the political fray, but by playing nice with those profiting off of the causes of climate change, he is making the political choice to reject climate science"" - Quote Tweet CNBC Jan Climate activists criticize BlackRock CEO's support for slow transition off oil and natural gas",2022-01-18T22:45:01Z,0.8462
"Replying to and Because half the country would just throw them in the trash, filling the landfills with plastic bits. People scream about climate change but want to waste a million tons of plastic made out of fossil fuels by tossing a billion unused covid tests in the trash.",2022-01-18T23:27:15Z,-0.6249
"As the climate crisis accelerates, the CEO of - the world's largest asset manager and one of the word's biggest investors in fossil fuels - is taking a morally vapid position on climate change. Quote Tweet Asset Manager Wake Up Call Jan Larry Fink's letter to CEOs is out now. Unfortunately, he is not acting as a bold climate leader in this letter; he is playing all sides. And rapid climate breakdown does not leave a grace period for the Finks of the world to appease climate laggards. Show this thread",2022-01-18T23:44:35Z,0.2062
"Unlike other environmental problems, the effects of climate change are not immediate, which makes it even harder to form a democratic consensus. foreignpolicy.com What if Democracy and Climate Mitigation Are Incompatible? Elected officials work through compromise, but a warming planet waits for no one.",2022-01-18T23:00:20Z,-0.4118
"The concept of living through a ""discontinuity"" which is applied to actions surrounding climate change, is applicable to schooling as well. In many cases, schools were not well-serving students prior to the pandemic. The pandemic has exacerbated existing problems.",2022-01-18T21:29:20Z,-0.1531
"Replying to If you watched something other than Fox news, you would know she was still trying to get people to take climate change seriously. But, of course, you do not. you are in your little bubble where the only time she is mentioned is to make fun of her. washingtonpost.com Greta Thunberg on the state of the climate movement and the roots of her power as an activist The Swedish activist discusses being catapulted to the world stage, and how Asperger's has helped her stay so focused.",2022-01-18T21:42:26Z,0.8641
"Border security is national security, and it has worsened each month of Biden's presidency. Instead of addressing his self-inflicted border crisis, the Biden Administration and have now launched the ""Climate Change Professionals Program."" foxnews.com Homeland Security launches 'climate change professionals program' amid historic illegal border... Rep. Ashley Hinson accused the Biden administration of ""living in an alternate reality.""",2022-01-18T21:19:32Z,-0.7269
"/ Persistently higher temperatures tend to enhance drought conditions. Climate change has led to an increase in the daily minimum and maximum temperatures in Texas, according to a report by the state climatologist. texastribune.org Climate change is making Texas hotter, threatening public health, wat... A report from the state climatologist finds that the state is experiencing hotter days with less relief from high temperatures at night.",2022-01-18T23:56:55Z,0.1796
"""When hope falters, the only options left are courage or collapse."" A teenager writes how to maintain hope and courage in the fight against climate change. greatergood.berkeley.edu Can We Be Hopeful and Courageous in the Face of Climate Change? A teenager draws on the work of Martin Luther King Jr. for inspiration in the fight against climate change.",2022-01-18T22:02:09Z,0.9313
". Executive Budget will make historic investments in critical areas that will be highly impactful for Ulster County - bolstering our infrastructure, confronting climate change, and providing record support for our children's education; / governor.ny.gov FY New York State Budget",2022-01-18T23:52:36Z,-0.0516
"""We see these bigger swings in the jet stream linked to climate change, and when they happen we always get unusual weather conditions,"" yahoo.com Southern snowstorm likely worsened by climate change, scientists say The snowstorm that battered the South this weekend, leaving thousands without power, was likely exacerbated by climate change, according to leading climate scientists.",2022-01-18T22:19:07Z,-0.4404
"The Intergovernmental Panel on Climate Change is not a science body. It is political, set up to force the west to accept that its toxic emissions of carbon dioxide will destroy world climate. All this will take place decades in the future, the biggest propaganda scam in history.",2022-01-19T21:55:22Z,-0.765
"If Jews actually controlled the world then climate change would not be an issue because we would always keep the planet at about degrees but bring a sweater in case it gets chilly later. ,",2022-01-19T22:16:57Z,0.0
"I can see it now, Morrison blurting, "" If only we would known about climate change"".",2022-01-19T23:37:00Z,0.0
"You study biology, and are looking for a cool master project in the Alps this summer? You like hiking and are interested in climate change effects on biotic interactions? I offer projects to resurvey historical data on ant hills and marmot burrows. DM me!",2022-01-19T22:52:45Z,0.7993
". to the Hill pool: ""I just came off the worst year ever on my farm. We need to do something on climate change. I think we spent $ billion this year on disasters and I do not think that included crop insurance. So we need to do something on climate too."" ,",2022-01-19T22:59:59Z,-0.8271
From Covid --> Climate Change GIF ALT,2022-01-19T20:48:02Z,0.0
"Roaches are designed for survival; compared to them we are barely hanging on. So, unless climate change is reversed, we may be heading toward a planet where cockroaches are the dominant species, Who are the roaches? popsci.com If People Were Cockroaches, Adapting to Climate Change Would Be Easy The cockroach is among the most adaptable animals on the planet. Will it weather climate change unfazed?",2022-01-19T22:17:29Z,0.504
"Several countries are removing health restrictions, but DON ' T RELAX and believe that everything is over. It is not like that, that scum will continue with their DICTATORSHIP plans, they will tell us about the supposed Climate Change or the arrival of aliens that will be just",2022-01-19T22:22:21Z,0.5081
So narrative is crumbling Restrictions are getting lifted I am glad but I do not think this is over by a long shot The rest of world still full on in many places I do believe Lockstep is a thing So what is next New variant? Climate change? Or are we winning ? Whatcha think?,2022-01-19T22:12:54Z,0.8205
I will tell you what Republicans are not for: Lowering Rx Drug Prices Lowering Health Care Premiums Loweing Child Care Costs Curbing Climate Change Voting Rights Admitting Biden won the election Winning a fair fight Science Lowering energy prices Democracy Moving on from Trump,2022-01-19T21:35:32Z,0.9192
"Here's how to help combat climate change for animals. animalsaustralia.org reasons to combat climate change - for the animals | Animals Australia We know the causes of global warming, and we must act to stop animals suffering from climate change.",2022-01-19T22:00:39Z,-0.7003
"Choosing to call recurrent serious floods and mudslides ""drama"" instead of a predictable outcome of climate change puts solidly in the ""do not Look Up"" category of reporting.",2022-01-19T22:20:12Z,-0.0772
"It is really worth reading Bill Gates book on tackling change. it is pragmatic and sums up the challenges ahead of us. He says it like it is and that it is a challenge but with businesses and Govts aligned plus technology innovation he believes we can turn it around. Quote Tweet Special Presidential Envoy John Kerry Jan I could not agree more, Great discussion today on how business and governments must work together to tackle the climate crisis. twitter.com/wef/status/ ...",2022-01-19T22:27:21Z,-0.6689
"*update* our review of media coverage of climate change or global warming is still coming soon! events here ( & ) have impacted our team but it remains in production meanwhile, stay tuned & utilize open source datasets & figures",2022-01-19T22:13:45Z,0.1511
"Mark Kennedy and other are not solely to blame for decline in the radical anti-climate change movement. Overt repression such as the Climate Camp in City of London was crucial too, as was the move to anti-austerity politics following the Tory/LibDem victory in . Quote Tweet Tom Fowler Jan ""How a Married Undercover Cop Having Sex With Activists Killed a Climate Movement"" covered by",2022-01-19T23:22:41Z,-0.7239
"We should never have left the Paris Climate Change Agreement! That decision by the previous president was ludicrous! Quote Tweet President Biden United States government official Jan Climate change is a code red for our nation. that is why over my first year we rejoined the Paris Agreement, rallied the world to tackle climate change, doubled electric vehicle sales, deployed more wind and solar than ever before, advanced environmental justice, and more.",2022-01-19T22:47:33Z,0.9133
Biden is blaming possible Russian incursion into Ukraine on a tundra that will not freeze again. Blame Climate Change!,2022-01-19T21:37:52Z,-0.3826
"I feel like ""government inaction"" when it comes to climate change is inaccurate. it is not like they are innocent bystanders watching a murder, they are supplying the murderer with weapons and targets.",2022-01-19T23:49:54Z,-0.9083
Replying to let us lower the voting age to ! We might finally get some action on Climate change.,2022-01-19T23:36:21Z,-0.3595
"Thank you for choosing Jimmy John's, my name is Cheyenne, unfortunately due to the recent ban on all meat production and sale by the JDPON Climate Change Council (North Amerikan Division), the only sandwich item available is our , The Veggie. We apologize for the inconvenience.",2022-01-19T23:04:12Z,-0.6808
"Tonight's debate on titled "" Nexus between deforestation, drought and Climate Change has been ended. would like to thank , , , & who were part of tonight's debate also we thank",2022-01-19T22:18:13Z,0.7579
"Replying to The rest of plan has not gone anywhere. There will still be a financial crash, CBDc launch and a massive climate change rip off exercise. The missing part for now is the digital ID. it will be back in a different guise so they can roll out the social contract. Trust nothing",2022-01-19T21:10:50Z,-0.1531
"They say the youth of today are not having kids because they are worried about climate change, thank God for that I say, we do not need another generation of brainwashed halfwits",2022-01-19T22:48:33Z,0.34
"Transportation = % of GHG emissions. Public transit is central to fighting climate change, and building equitable communities. Quote Tweet ClimatePlan Jan How can this do more to advance climate, health and equity goals for our state?",2022-01-19T20:33:01Z,-0.3612
"We cannot confront the greatest challenges facing our planet and our communities - chief among them, climate change - without a functioning democracy. Congress must pass the Freedom To Vote: John R Lewis Act. Quote Tweet NRDC Action Fund Jan To make progress on the issues that impact communities the most, from climate change to environmental injustices, we must protect the right to vote. it is up to Congress to get it done.",2022-01-19T23:01:48Z,0.7935
"""What are they doing to ameliorate the climate change we are facing, other than to deny that it exists? What do you think the Republican platform would be right now?"" Biden on the party that is focused on fund-raising trolling, and that is about it.",2022-01-19T22:45:26Z,0.504
"Meteorologist visited Boulder County, Colorado to explore how human-induced climate change helped foster a devastating disaster. He spoke with residents who lost everything, and learned what firefighters did to save thousands of lives. GIF",2022-01-19T23:00:01Z,-0.8176
Watch: CBS Host Blames Weekend Undersea Volcanic Eruption on 'Climate Change' redstate.com Watch: CBS Host Blames Weekend Undersea Volcanic Eruption on 'Climate Change' Should we tell him?,2022-01-19T22:23:27Z,-0.6597
"Reason why I am very concerned about climate change and the rise of new deadly viruses Quote Tweet Archaeo - Histories Jan Researchers in Siberia found a perfectly-preserved , -year-old baby horse buried under the permafrost. It was in such good condition that its blood was still in a liquid state, allowing scientists to extract it.",2022-01-19T22:38:00Z,0.4404
"Our Snoopy sculpture is finally complete! The children have worked incredibly hard decorating, designing and learning all about the world we live in, including the impacts of climate change.",2022-01-19T22:51:38Z,-0.2465
"Climate change is costly. Last year in the U.S., climate disasters resulted in $ billion worth of damage and took lives. With the Act we can cut dangerous greenhouse gases in half by . The Senate must act. thehill.com Rising costs of climate crisis must compel Congress to act we are burying our children alive beneath a mountain of environmental debt from which they may never recover.",2022-01-19T23:22:27Z,-0.9382
"Tonight's episode is a special hour-long look at how extreme weather and climate change are forcing just about everyone to think differently about how we live. Tune in! Quote Tweet VICE News Jan One recent wildfire destroyed more than , homes in suburban Boulder County, Colorado. We talk with people rethinking how we should live as wildfire season expands. , pm ET on",2022-01-19T23:23:58Z,-0.1007
"Replying to and ""Holding the increase in the global average temperature to well below C and pursuing efforts to limit the temperature increase to . C above pre-industrial levels, recognizing that this would significantly reduce the risks and impacts of climate change""",2022-01-19T22:55:29Z,0.5574
